school_name,state,level,control,official_website,has_inclusive_access,program_name,cost_model,bookstore_partner,publishers_used,notes,source_urls,research_status
Lincoln College of Technology-Marietta,GA,2-year,private_forprofit,https://www.lincolntech.edu/campus/marietta-ga,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Luther Rice College & Seminary,GA,4-year,private_nonprofit,https://www.lutherrice.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Mercer University,GA,4-year,private_nonprofit,https://www.mercer.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Miami Ad School-Atlanta,GA,2-year,private_forprofit,https://miamiadschool.com/locations/atlanta,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Middle Georgia State University,GA,4-year,public,https://www.mga.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Miller-Motte College-Augusta,GA,2-year,private_forprofit,https://www.miller-motte.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Miller-Motte College-Columbus,GA,2-year,private_forprofit,https://www.miller-motte.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Miller-Motte College-Macon,GA,2-year,private_forprofit,https://www.miller-motte.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Morehouse College,GA,4-year,private_nonprofit,https://www.morehouse.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Morehouse School of Medicine,GA,4-year,private_nonprofit,https://www.msm.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Morris Brown College,GA,4-year,private_nonprofit,https://www.morrisbrown.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
North Georgia Technical College,GA,2-year,public,https://northgatech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Oconee Fall Line Technical College,GA,2-year,public,https://www.oftc.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Ogeechee Technical College,GA,2-year,public,https://www.ogeecheetech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Oglethorpe University,GA,4-year,private_nonprofit,https://oglethorpe.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Paine College,GA,4-year,private_nonprofit,https://www.paine.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Piedmont University,GA,4-year,private_nonprofit,https://www.piedmont.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Point University,GA,4-year,private_nonprofit,https://point.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Reformed University,GA,4-year,private_nonprofit,https://runiv.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Reinhardt University,GA,4-year,private_nonprofit,https://www.reinhardt.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Relay Graduate School of Education - Atlanta,GA,4-year,private_nonprofit,https://relay.edu/location/relay-atlanta,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
SAE Institute of Technology-Atlanta,GA,2-year,private_forprofit,https://www.usa.sae.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Savannah College of Art and Design,GA,4-year,private_nonprofit,https://www.scad.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Savannah State University,GA,4-year,public,https://www.savannahstate.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Savannah Technical College,GA,2-year,public,https://www.savannahtech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Shorter University,GA,4-year,private_nonprofit,https://www.shorter.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
South College-Atlanta,GA,4-year,private_forprofit,https://www.south.edu/locations/atlanta,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
South Georgia State College,GA,4-year,public,https://www.sgsc.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
South Georgia Technical College,GA,2-year,public,https://www.southgatech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
South University-Savannah,GA,4-year,private_forprofit,"https://www.southuniversity.edu/savannah#location=Savannah, GA",yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
South University-Savannah Online,GA,4-year,private_forprofit,https://www.southuniversity.edu/online#location=Online Programs,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Southeastern Technical College,GA,2-year,public,https://www.southeasterntech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Southern Crescent Technical College,GA,2-year,public,https://www.sctech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Southern Regional Technical College,GA,2-year,public,https://southernregional.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Spelman College,GA,4-year,private_nonprofit,https://www.spelman.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Strayer University - Macon Campus,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/macon,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Augusta Campus,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/augusta,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Cobb Campus,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/cobb-county,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Georgia,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/chamblee,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Lithonia Campus,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/lithonia,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Morrow Campus,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/morrow,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Strayer University-Savannah Campus,GA,4-year,private_forprofit,https://www.strayer.edu/campus-locations/georgia/savannah,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Thomas University,GA,4-year,private_nonprofit,https://www.thomasu.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Toccoa Falls College,GA,4-year,private_nonprofit,https://tfc.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Troy University-Support Sites,GA,4-year,public,https://www.troy.edu/about-us/troy-support-centers,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Truett McConnell University,GA,4-year,private_nonprofit,https://truett.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Georgia,GA,4-year,public,https://www.uga.edu,Yes,Course-by-Course Affordable Access,Per-course (reduced),UGA Bookstore (Follett),Various,Follett course-by-course IA; faculty opt-in courses; auto-enrolled students; opt-out; digital+physical; price match,https://uga.bncollege.com; https://uga.edu,done
University of North Georgia,GA,4-year,public,https://www.ung.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of West Georgia,GA,4-year,public,https://www.westga.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Valdosta State University,GA,4-year,public,https://www.valdosta.edu,yes,VSU Day 1,Competitive pricing; per-course; opt-out period,Barnes & Noble College,BN First Day; digital via LMS,VSU Day 1 IA model. Instructors request. Opt-out period for students.,https://valdosta.edu; https://bncollege.com/valdosta,done
Virginia University of Integrative Medicine - Georgia,GA,4-year,private_nonprofit,https://www.vuim.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Wesleyan College,GA,4-year,private_nonprofit,https://www.wesleyancollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
West Georgia Technical College,GA,2-year,public,https://www.westgatech.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Wiregrass Georgia Technical College,GA,2-year,public,https://www.wiregrass.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Young Harris College,GA,4-year,private_nonprofit,https://www.yhc.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Guam Community College,GU,4-year,public,https://www.guamcc.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Pacific Islands University,GU,4-year,private_nonprofit,https://www.piu.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Guam,GU,4-year,public,https://www.uog.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Brigham Young University-Hawaii,HI,4-year,private_nonprofit,https://www.byuh.edu,yes,Inclusive Access,Per-course digital fee; eBooks day 1; auto-charged to account; 14-day opt-out,BYU-Hawaii Bookstore,Various; eBooks; digital,Inclusive Access. eBooks/course materials day 1. Auto-charged digital fee. 14-day opt-out window from first day.,https://byuh.edu,done
Chaminade University of Honolulu,HI,4-year,private_nonprofit,https://www.chaminade.edu,no,N/A,Traditional purchase via bookstore,University bookstore,Various,No formal IA program. Traditional bookstore textbook purchasing.,https://chaminade.edu,done
Columbia College - USCG Base Honolulu,HI,4-year,private_nonprofit,https://www.ccis.edu/locations/honolulu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Hawaii Community College,HI,2-year,public,https://www.hawaii.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Hawaii Medical College,HI,2-year,private_forprofit,https://www.hmi.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Hawaii Pacific University,HI,4-year,private_nonprofit,https://www.hpu.edu,yes,Shark Bundle,$26.25/cr; auto-enrolled on registration; opt-out; all required materials,University bookstore,Various; textbooks + lab manuals + access codes + eBooks,Shark Bundle: $26.25/cr. All required materials including lab manuals and access codes. Auto-enrolled.,https://hpu.edu,done
Honolulu Community College,HI,2-year,public,https://www.honolulu.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
IBS School of Cosmetology and Massage,HI,2-year,private_forprofit,https://ibs-hi.com,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Institute of Clinical Acupuncture & Oriental Medicine,HI,4-year,private_forprofit,https://www.orientalmedicine.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Kapiolani Community College,HI,2-year,public,https://www.kapiolani.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Kauai Community College,HI,2-year,public,https://www.kauai.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Leeward Community College,HI,2-year,public,https://www.leeward.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Pacific Rim Christian University,HI,4-year,private_nonprofit,https://www.pacrim.edu/#home,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Hawaii Maui College,HI,4-year,public,https://maui.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
University of Hawaii at Hilo,HI,4-year,public,https://hilo.hawaii.edu,yes,Interactive Digital Access Program (IDAP),IDAP Rental charge to MyUH account; auto-enrolled; opt-out,UH Bookstore,Various; digital via Laulima/Lamaku,IDAP same as Manoa. Digital via Laulima/Lamaku. Email notification for participating courses.,https://hawaii.edu,done
University of Hawaii at Manoa,HI,4-year,public,https://manoa.hawaii.edu,yes,Interactive Digital Access Program (IDAP),IDAP Rental charge to MyUH account; auto-enrolled; opt-out for refund,UH Bookstore,Various; digital via Laulima,IDAP: digital materials via Laulima. IDAP Rental charge to MyUH. Opt-out for refund.,https://hawaii.edu,done
University of Hawaii-West Oahu,HI,4-year,public,https://westoahu.hawaii.edu,Yes,IDAP (UH system),Per-course (MyUH billing),UH Bookstore,Various via Laulima,Part of UH system IDAP,https://westoahu.hawaii.edu; https://bookstore.hawaii.edu,done
University of Phoenix-Hawaii,HI,4-year,private_forprofit,https://www.phoenix.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Windward Community College,HI,2-year,public,https://windward.hawaii.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Allen College,IA,4-year,private_nonprofit,https://www.allencollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
American Hair Academy,IA,2-year,private_forprofit,https://americanhairacademy.com,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Aveda Institute-Des Moines,IA,2-year,private_forprofit,https://avedainstitutedesmoines.com,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Briar Cliff University,IA,4-year,private_nonprofit,https://www.briarcliff.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Buena Vista University,IA,4-year,private_nonprofit,https://www.bvu.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Central College,IA,4-year,private_nonprofit,https://www.central.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Clarke University,IA,4-year,private_nonprofit,https://www.clarke.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Coe College,IA,4-year,private_nonprofit,https://www.coe.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Cornell College,IA,4-year,private_nonprofit,https://www.cornellcollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Des Moines Area Community College,IA,2-year,public,https://www.dmacc.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Des Moines University-Osteopathic Medical Center,IA,4-year,private_nonprofit,https://www.dmu.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Divine Word College,IA,4-year,private_nonprofit,https://www.dwci.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Dordt University,IA,4-year,private_nonprofit,https://www.dordt.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Drake University,IA,4-year,private_nonprofit,https://www.drake.edu,yes,Course Ready,$255/semester FT; $17/credit hour PT; auto-enrolled; opt-out,eCampus.com,Various; eCampus.com; digital via Blackboard + physical,"Course Ready via eCampus.com (Fall 2024). $255/sem FT, $17/cr PT. Auto-enrolled. Digital via Blackboard + physical pickup/delivery. Opt-out per semester.",https://drake.edu; https://ecampus.com,done
Eastern Iowa Community College District,IA,2-year,public,https://www.eicc.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Ellsworth Community College,IA,2-year,public,https://ecc.iavalley.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Emmaus Bible College,IA,4-year,private_nonprofit,https://www.emmaus.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Faith Baptist Bible College and Theological Seminary,IA,4-year,private_nonprofit,https://faith.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Graceland University-Lamoni,IA,4-year,private_nonprofit,https://www.graceland.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Grand View University,IA,4-year,private_nonprofit,https://www.grandview.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Grinnell College,IA,4-year,private_nonprofit,https://www.grinnell.edu,yes,GrinnBooks Program,Included in comprehensive fee (2025-26); auto-enrolled; opt-out,Pioneer Bookshop,Various; digital via Canvas + print pickup,"GrinnBooks: textbook cost included in comprehensive fee starting 2025-26. Auto-enrolled. Digital via Canvas, print at Pioneer Bookshop. Opt-out available.",https://grinnell.edu,done
Hawkeye Community College,IA,2-year,public,https://www.hawkeyecollege.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
Indian Hills Community College,IA,2-year,public,https://www.indianhills.edu,yes,Inclusive Access / First Day (varies by institution),Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by institution,Various (BN / Follett / campus),Various; digital via LMS,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.,N/A,done
